"Scenario","q","Year","Season","FULL.SWAN","WEE.SWAN","Bias"
"S1",0.2,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S1",0.2,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S1",0.2,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S1",0.2,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S1",0.2,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S1",0.2,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S1",0.2,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S1",0.2,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S1",0.2,2013,"FALL",25688.7353457181,19548.1484592156,-0.239038115495477
"S1",0.2,2013,"SPRING",55415.3712498329,56407.356592464,0.0179009058363765
"S1",0.2,2014,"FALL",42752.5408320316,42102.6404361314,-0.0152014449492853
"S1",0.2,2014,"SPRING",34479.0789145986,33698.2272346981,-0.0226471154242431
"S1",0.2,2015,"FALL",30595.1435452035,19642.5116099036,-0.357985963331654
"S1",0.2,2015,"SPRING",86439.2178958585,89053.9107666395,0.0302489186555479
"S1",0.2,2016,"FALL",60748.8581273749,51926.8126854249,-0.145221584633779
"S1",0.2,2016,"SPRING",26411.6007730762,27903.136219459,0.0564727393541122
"S1",0.2,2017,"FALL",466.85068399916,466.85068399916,0
"S1",0.2,2017,"SPRING",33312.3754168096,33949.0843037746,0.019113283847171
"S1",0.2,2018,"FALL",109905.44788431,115806.329591134,0.0536905296363057
"S1",0.2,2018,"SPRING",54221.2905674183,57862.5495131758,0.0671555196796725
"S1",0.2,2019,"FALL",29885.2906644313,26900.2860835894,-0.099882066209735
"S1",0.2,2019,"SPRING",61869.7744161734,61410.9113510494,-0.00741659508950869
"S1",0.2,2020,"SPRING",80355.2056859911,81555.7858923589,0.0149409138601347
"S1",0.2,2021,"FALL",28705.5310064552,18496.5578641329,-0.355644810751856
"S1",0.2,2021,"SPRING",54221.0345592,55572.1309725806,0.0249183075233549
"S1",0.2,2022,"FALL",29657.5866316183,32229.5326650652,0.0867213527989806
"S1",0.2,2022,"SPRING",61073.5393237348,62669.9422515355,0.0261390275637799
"S2",0.2,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S2",0.2,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S2",0.2,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S2",0.2,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S2",0.2,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S2",0.2,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S2",0.2,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S2",0.2,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
