"Scenario","q","Year","FULL.Value","WEE.Value","Bias"
"S1",0.2,2012,4601590,4301000,-0.0653230731116853
"S1",0.2,2015,6031590,6016580,-0.00248856437523107
"S1",0.2,2018,5491080,5799270,0.0561255709259381
"S1",0.2,2022,1445570,1119080,-0.225855544871573
"S2",0.2,2012,4601590,4301000,-0.0653230731116853
"S2",0.2,2015,6163880,6167260,0.000548355905695763
"S2",0.2,2018,5595390,5922370,0.0584373922103732
"S2",0.2,2022,1512580,1196330,-0.209079850321966
"S1",0.4,2012,4601590,4301000,-0.0653230731116853
"S1",0.4,2015,6024180,5865890,-0.0262757752922389
"S1",0.4,2018,5482890,5676170,0.0352514823386936
"S1",0.4,2022,1457710,1041830,-0.285296801147005
"S2",0.4,2012,4601590,4301000,-0.0653230731116853
"S2",0.4,2015,6288760,6167260,-0.0193201839472328
"S2",0.4,2018,5691520,5922370,0.0405603424041381
"S2",0.4,2022,1591730,1196330,-0.248408963831806
"S1",0.6,2012,4601590,4301000,-0.0653230731116853
"S1",0.6,2015,6016780,5715210,-0.0501214935563541
"S1",0.6,2018,5474710,5553070,0.0143130869032332
"S1",0.6,2022,1469850,964580,-0.343756165595129
"S2",0.6,2012,4601590,4301000,-0.0653230731116853
"S2",0.6,2015,6413650,6167260,-0.0384165023036804
"S2",0.6,2018,5787650,5922370,0.0232771504842207
"S2",0.6,2022,1670870,1196330,-0.284007732498638
"S1",0.8,2012,4601590,4301000,-0.0653230731116853
"S1",0.8,2015,6009370,5564530,-0.0740243985642422
"S1",0.8,2018,5466520,5429970,-0.00668615499440229
"S1",0.8,2022,1481990,887330,-0.401257768271041
"S2",0.8,2012,4601590,4301000,-0.0653230731116853
"S2",0.8,2015,6538540,6167260,-0.0567833186001768
"S2",0.8,2018,5883790,5922370,0.00655699812535798
"S2",0.8,2022,1750020,1196330,-0.316390669820916
"S1",1,2012,4601590,4301000,-0.0653230731116853
"S1",1,2015,6001970,5413850,-0.0979878273300266
"S1",1,2018,5458340,5306870,-0.0277501951142655
"S1",1,2022,1494140,810080,-0.457828583666859
"S2",1,2012,4601590,4301000,-0.0653230731116853
"S2",1,2015,6663430,6167260,-0.0744616511316244
"S2",1,2018,5979920,5922370,-0.00962387456688384
"S2",1,2022,1829170,1196330,-0.345971123515037
