"Dataset","Scenario","q","Year","SSB","SSB_95_lo","SSB_95_hi","SSB_base","StdDev_base","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S1",0.2,1963,2041140,1186278.16,2896001.84,1897550,420361,1073642.44,2721457.56
"FULL","S1",0.2,1964,2053710,1197764.28,2909655.72,1909820,420987,1084685.48,2734954.52
"FULL","S1",0.2,1965,2066260,1209222.56,2923297.44,1922030,421436,1096015.44,2748044.56
"FULL","S1",0.2,1966,2061220,1202493.04,2919946.96,1916610,421879,1089727.16,2743492.84
"FULL","S1",0.2,1967,2055580,1190824.08,2920335.92,1909930,424340,1078223.6,2741636.4
"FULL","S1",0.2,1968,2050790,1176606.48,2924973.52,1903070,427831,1064521.24,2741618.76
"FULL","S1",0.2,1969,2044790,1161286.68,2928293.32,1894740,430780,1050411.2,2739068.8
"FULL","S1",0.2,1970,2037360,1146683.08,2928036.92,1885190,432473,1037542.92,2732837.08
"FULL","S1",0.2,1971,2022330,1128417.12,2916242.88,1868000,432013,1021254.52,2714745.48
"FULL","S1",0.2,1972,1979170,1088520.52,2869819.48,1823390,428166,984184.64,2662595.36
"FULL","S1",0.2,1973,1922150,1041790.52,2802509.48,1765580,420772,940866.88,2590293.12
"FULL","S1",0.2,1974,1849000,985790.52,2712209.48,1692860,410118,889028.72,2496691.28
"FULL","S1",0.2,1975,1773010,931660.4,2614359.6,1618570,397494,839481.76,2397658.24
"FULL","S1",0.2,1976,1714650,896865.48,2532434.52,1562780,384516,809128.64,2316431.36
"FULL","S1",0.2,1977,1668490,872712.36,2464267.64,1520060,372908,789160.32,2250959.68
"FULL","S1",0.2,1978,1647040,867371.6,2426708.4,1502610,364937,787333.48,2217886.52
"FULL","S1",0.2,1979,1679340,903703.32,2454976.68,1539760,364223,825882.92,2253637.08
"FULL","S1",0.2,1980,1754160,969058.48,2539261.52,1619510,371155,892046.2,2346973.8
"FULL","S1",0.2,1981,1858650,1050332.28,2666967.72,1728180,385332,972929.28,2483430.72
"FULL","S1",0.2,1982,1956300,1117135.8,2795464.2,1826710,402136,1038523.44,2614896.56
"FULL","S1",0.2,1983,2056120,1187161.84,2925078.16,1926540,417958,1107342.32,2745737.68
"FULL","S1",0.2,1984,2131440,1240314.24,3022565.76,2001670,429638,1159579.52,2843760.48
"FULL","S1",0.2,1985,2166010,1264388.44,3067631.56,2035630,434878,1183269.12,2887990.88
"FULL","S1",0.2,1986,2164840,1265952.64,3063727.36,2034490,433336,1185151.44,2883828.56
"FULL","S1",0.2,1987,2137080,1252692.72,3021467.28,2009020,426462,1173154.48,2844885.52
"FULL","S1",0.2,1988,2095680,1232186.32,2959173.68,1970570,416479,1154271.16,2786868.84
"FULL","S1",0.2,1989,2044830,1205058.2,2884601.8,1922740,404973,1128992.92,2716487.08
"FULL","S1",0.2,1990,2012400,1191610.8,2833189.2,1894910,396678,1117421.12,2672398.88
"FULL","S1",0.2,1991,1997350,1186596,2808104,1882830,392647,1113241.88,2652418.12
"FULL","S1",0.2,1992,1999240,1189912.88,2808567.12,1884170,392034,1115783.36,2652556.64
"FULL","S1",0.2,1993,2020260,1200966.28,2839553.72,1899260,395898,1123299.92,2675220.08
"FULL","S1",0.2,1994,2062150,1223126.92,2901173.08,1929810,403230,1139479.2,2720140.8
"FULL","S1",0.2,1995,2129620,1262102.44,2997137.56,1987640,416289,1171713.56,2803566.44
"FULL","S1",0.2,1996,2192400,1298375.4,3086424.6,2037020,426074,1201914.96,2872125.04
"FULL","S1",0.2,1997,2218490,1308710.92,3128269.08,2046010,428049,1207033.96,2884986.04
"FULL","S1",0.2,1998,2207280,1298230.04,3116329.96,2022450,422377,1194591.08,2850308.92
"FULL","S1",0.2,1999,2172260,1278794,3065726,1984310,412168,1176460.72,2792159.28
"FULL","S1",0.2,2000,2114710,1248433.12,2980986.88,1930370,398324,1149654.96,2711085.04
"FULL","S1",0.2,2001,2043240,1211447.36,2875032.64,1867440,382551,1117640.04,2617239.96
"FULL","S1",0.2,2002,1960160,1167539.92,2752780.08,1796150,365587,1079599.48,2512700.52
"FULL","S1",0.2,2003,1862850,1112436.56,2613263.44,1710920,347094,1030615.76,2391224.24
"FULL","S1",0.2,2004,1748570,1044036.24,2453103.76,1607890,326287,968367.48,2247412.52
"FULL","S1",0.2,2005,1635560,977531.16,2293588.84,1507420,305946,907765.84,2107074.16
"FULL","S1",0.2,2006,1532310,918694.76,2145925.24,1416770,287019,854212.76,1979327.24
"FULL","S1",0.2,2007,1443090,868482.68,2017697.32,1340010,271138,808579.52,1871440.48
"FULL","S1",0.2,2008,1376420,833017.84,1919822.16,1285280,259407,776842.28,1793717.72
"FULL","S1",0.2,2009,1329640,810485,1848795,1249500,251140,757265.6,1741734.4
"FULL","S1",0.2,2010,1291840,792959.24,1790720.76,1221560,244692,741963.68,1701156.32
"FULL","S1",0.2,2011,1256680,776848.48,1736511.52,1195460,238717,727574.68,1663345.32
"FULL","S1",0.2,2012,1239150,772256.44,1706043.56,1186300,235702,724324.08,1648275.92
"FULL","S1",0.2,2013,1240600,779511.96,1701688.04,1194900,236041,732259.64,1657540.36
"FULL","S1",0.2,2014,1246080,786642.28,1705517.72,1206270,237983,739823.32,1672716.68
"FULL","S1",0.2,2015,1239720,783516.28,1695923.72,1204820,238551,737260.04,1672379.96
"FULL","S1",0.2,2016,1213030,764205.68,1661854.32,1182060,236565,718392.6,1645727.4
"FULL","S1",0.2,2017,1179020,738384.56,1619655.44,1150070,233179,693039.16,1607100.84
"FULL","S1",0.2,2018,1140630,708408.84,1572851.16,1111920,228689,663689.56,1560150.44
"FULL","S1",0.2,2019,1090490,669248.76,1511731.24,1061000,222336,625221.44,1496778.56
"FULL","S1",0.2,2020,1047240,634220.96,1460259.04,1015000,216286,591079.44,1438920.56
"FULL","S1",0.2,2021,1015840,606897.76,1424782.24,979053,211438,564634.52,1393471.48
"FULL","S1",0.2,2022,1004540,591822.8,1417257.2,961497,209920,550053.8,1372940.2
"FULL","S1",0.2,2023,994149,578999.44,1409298.56,947226,209461,536682.44,1357769.56
"FULL","S1",0.4,1963,2037990,1161848.44,2914131.56,1897550,420361,1073642.44,2721457.56
"FULL","S1",0.4,1964,2050430,1173096.76,2927763.24,1909820,420987,1084685.48,2734954.52
"FULL","S1",0.4,1965,2063010,1184524.28,2941495.72,1922030,421436,1096015.44,2748044.56
"FULL","S1",0.4,1966,2058180,1178181.16,2938178.84,1916610,421879,1089727.16,2743492.84
"FULL","S1",0.4,1967,2052730,1167031.48,2938428.52,1909930,424340,1078223.6,2741636.4
"FULL","S1",0.4,1968,2048260,1153288.72,2943231.28,1903070,427831,1064521.24,2741618.76
"FULL","S1",0.4,1969,2042710,1138732.52,2946687.48,1894740,430780,1050411.2,2739068.8
"FULL","S1",0.4,1970,2035900,1125150.72,2946649.28,1885190,432473,1037542.92,2732837.08
"FULL","S1",0.4,1971,2021810,1108091.32,2935528.68,1868000,432013,1021254.52,2714745.48
"FULL","S1",0.4,1972,1979970,1069889.08,2890050.92,1823390,428166,984184.64,2662595.36
"FULL","S1",0.4,1973,1924520,1025197.52,2823842.48,1765580,420772,940866.88,2590293.12
"FULL","S1",0.4,1974,1853130,971612.16,2734647.84,1692860,410118,889028.72,2496691.28
"FULL","S1",0.4,1975,1778970,919960.8,2637979.2,1618570,397494,839481.76,2397658.24
"FULL","S1",0.4,1976,1722440,887401.6,2557478.4,1562780,384516,809128.64,2316431.36
"FULL","S1",0.4,1977,1678090,865025.16,2491154.84,1520060,372908,789160.32,2250959.68
"FULL","S1",0.4,1978,1658410,860897.76,2455922.24,1502610,364937,787333.48,2217886.52
"FULL","S1",0.4,1979,1692450,897730.76,2487169.24,1539760,364223,825882.92,2253637.08
"FULL","S1",0.4,1980,1768870,962976.8,2574763.2,1619510,371155,892046.2,2346973.8
"FULL","S1",0.4,1981,1874800,1043583.6,2706016.4,1728180,385332,972929.28,2483430.72
"FULL","S1",0.4,1982,1973130,1109140.44,2837119.56,1826710,402136,1038523.44,2614896.56
"FULL","S1",0.4,1983,2073040,1177890.36,2968189.64,1926540,417958,1107342.32,2745737.68
"FULL","S1",0.4,1984,2147750,1229864.36,3065635.64,2001670,429638,1159579.52,2843760.48
"FULL","S1",0.4,1985,2180940,1252862.36,3109017.64,2035630,434878,1183269.12,2887990.88
"FULL","S1",0.4,1986,2178090,1253703.04,3102476.96,2034490,433336,1185151.44,2883828.56
"FULL","S1",0.4,1987,2149200,1240349.96,3058050.04,2009020,426462,1173154.48,2844885.52
"FULL","S1",0.4,1988,2106860,1219956.08,2993763.92,1970570,416479,1154271.16,2786868.84
"FULL","S1",0.4,1989,2055290,1193113.44,2917466.56,1922740,404973,1128992.92,2716487.08
"FULL","S1",0.4,1990,2023110,1179957.2,2866262.8,1894910,396678,1117421.12,2672398.88
"FULL","S1",0.4,1991,2007830,1174551.68,2841108.32,1882830,392647,1113241.88,2652418.12
"FULL","S1",0.4,1992,2007950,1176457.24,2839442.76,1884170,392034,1115783.36,2652556.64
"FULL","S1",0.4,1993,2023620,1183644.36,2863595.64,1899260,395898,1123299.92,2675220.08
"FULL","S1",0.4,1994,2056080,1199756,2912404,1929810,403230,1139479.2,2720140.8
"FULL","S1",0.4,1995,2113440,1231569.36,2995310.64,1987640,416289,1171713.56,2803566.44
"FULL","S1",0.4,1996,2162890,1260837.24,3064942.76,2037020,426074,1201914.96,2872125.04
"FULL","S1",0.4,1997,2172730,1264765.88,3080694.12,2046010,428049,1207033.96,2884986.04
"FULL","S1",0.4,1998,2148630,1250834.36,3046425.64,2022450,422377,1194591.08,2850308.92
"FULL","S1",0.4,1999,2107530,1231088.56,2983971.44,1984310,412168,1176460.72,2792159.28
"FULL","S1",0.4,2000,2049100,1202713.2,2895486.8,1930370,398324,1149654.96,2711085.04
"FULL","S1",0.4,2001,1980760,1169210.24,2792309.76,1867440,382551,1117640.04,2617239.96
"FULL","S1",0.4,2002,1903450,1129598.88,2677301.12,1796150,365587,1079599.48,2512700.52
"FULL","S1",0.4,2003,1812510,1079042.72,2545977.28,1710920,347094,1030615.76,2391224.24
"FULL","S1",0.4,2004,1704610,1015325.04,2393894.96,1607890,326287,968367.48,2247412.52
"FULL","S1",0.4,2005,1599180,953111.08,2245248.92,1507420,305946,907765.84,2107074.16
"FULL","S1",0.4,2006,1503930,898001.88,2109858.12,1416770,287019,854212.76,1979327.24
"FULL","S1",0.4,2007,1422700,850821,1994579,1340010,271138,808579.52,1871440.48
"FULL","S1",0.4,2008,1363650,817641.04,1909658.96,1285280,259407,776842.28,1793717.72
"FULL","S1",0.4,2009,1324080,796918.4,1851241.6,1249500,251140,757265.6,1741734.4
"FULL","S1",0.4,2010,1293470,781033.88,1805906.12,1221560,244692,741963.68,1701156.32
"FULL","S1",0.4,2011,1266150,766789.04,1765510.96,1195460,238717,727574.68,1663345.32
