"Dataset","Scenario","q","Year","F","F_95_lo","F_95_hi","F_base","F_base_95_lo","F_base_95_hi"
"FULL","S1",0.2,1982,0.7556534,0.5427778,0.968529,0.7556548,0.5427792,0.9685304
"FULL","S1",0.2,1983,1.081363,0.7688998,1.3938262,1.081364,0.7689008,1.3938272
"FULL","S1",0.2,1984,1.227683,0.9039302,1.5514358,1.227685,0.9039322,1.5514378
"FULL","S1",0.2,1985,1.249441,0.914477,1.584405,1.249444,0.91448,1.584408
"FULL","S1",0.2,1986,1.323395,0.9594818,1.6873082,1.323397,0.9594838,1.6873102
"FULL","S1",0.2,1987,1.278752,0.9359088,1.6215952,1.278754,0.9359108,1.6215972
"FULL","S1",0.2,1988,1.600839,1.176499,2.025179,1.60084,1.1765,2.02518
"FULL","S1",0.2,1989,1.271427,0.9177842,1.6250698,1.27143,0.9177872,1.6250728
"FULL","S1",0.2,1990,0.8442442,0.6136502,1.0748382,0.8442476,0.6136536,1.0748416
"FULL","S1",0.2,1991,1.054575,0.7747654,1.3343846,1.054578,0.7747684,1.3343876
"FULL","S1",0.2,1992,1.16959,0.857068,1.482112,1.169593,0.857071,1.482115
"FULL","S1",0.2,1993,0.99732,0.7210188,1.2736212,0.9973226,0.7210214,1.2736238
"FULL","S1",0.2,1994,0.950392,0.697258,1.203526,0.9503938,0.6972402,1.2035474
"FULL","S1",0.2,1995,1.432737,1.2282306,1.6372434,1.432743,1.2282366,1.6372494
"FULL","S1",0.2,1996,1.155392,1.00087932,1.30990468,1.155396,1.00088332,1.30990868
"FULL","S1",0.2,1997,0.7749988,0.65770456,0.89229304,0.775001,0.65770676,0.89229524
"FULL","S1",0.2,1998,0.8089293,0.69050414,0.92735446,0.8089297,0.69050454,0.92735486
"FULL","S1",0.2,1999,0.5845596,0.50312552,0.66599368,0.5845607,0.50312662,0.66599478
"FULL","S1",0.2,2000,0.6952903,0.59689634,0.79368426,0.6952898,0.59689584,0.79368376
"FULL","S1",0.2,2001,0.4643247,0.39517982,0.53346958,0.464324,0.39517912,0.53346888
"FULL","S1",0.2,2002,0.4238475,0.36354614,0.48414886,0.4238457,0.36354434,0.48414706
"FULL","S1",0.2,2003,0.406721,0.34921852,0.46422348,0.4067173,0.34921482,0.46421978
"FULL","S1",0.2,2004,0.4355589,0.37617482,0.49494298,0.4355518,0.37616968,0.49493392
"FULL","S1",0.2,2005,0.4574386,0.39686676,0.51801044,0.4574258,0.39685592,0.51799568
"FULL","S1",0.2,2006,0.3370916,0.29236244,0.38182076,0.3370782,0.292351,0.3818054
"FULL","S1",0.2,2007,0.2565326,0.22309892,0.28996628,0.2565183,0.22308658,0.28995002
"FULL","S1",0.2,2008,0.3293452,0.28738552,0.37130488,0.3293183,0.28736058,0.37127602
"FULL","S1",0.2,2009,0.3490565,0.30539162,0.39272138,0.3490246,0.30536364,0.39268556
"FULL","S1",0.2,2010,0.3890186,0.34134944,0.43668776,0.388993,0.3413258,0.4366602
"FULL","S1",0.2,2011,0.4597785,0.40223682,0.51732018,0.4597872,0.4022416,0.5173328
"FULL","S1",0.2,2012,0.4285352,0.37199116,0.48507924,0.4285948,0.37203704,0.48515256
"FULL","S1",0.2,2013,0.4730084,0.41325388,0.53276292,0.4731116,0.41333748,0.53288572
"FULL","S1",0.2,2014,0.4391946,0.38456352,0.49382568,0.4392373,0.3846023,0.4938723
"FULL","S1",0.2,2015,0.4270967,0.37448638,0.47970702,0.4271531,0.3745369,0.4797693
"FULL","S1",0.2,2016,0.4277462,0.3733366,0.4821558,0.4277843,0.3733747,0.4821939
"FULL","S1",0.2,2017,0.3450594,0.30079868,0.38932012,0.3450972,0.30083844,0.38935596
"FULL","S1",0.2,2018,0.304361,0.26376744,0.34495456,0.3044119,0.26381834,0.34500546
"FULL","S1",0.2,2019,0.3703857,0.31827322,0.42249818,0.3704612,0.3183448,0.4225776
"FULL","S1",0.2,2020,0.416915,0.35402644,0.47980356,0.4170282,0.3541318,0.4799246
"FULL","S1",0.2,2021,0.3705286,0.30736564,0.43369156,0.3706339,0.3074631,0.4338047
