"Dataset","Scenario","q","Year","F","F_95_lo","F_95_hi","F_base","F_base_StdDev","F_base_95_lo","F_base_95_hi"
"FULL","S1",0.2,1961,0,NA,NA,0,NA,NA,NA
"FULL","S1",0.2,1962,0.0132255113486253,NA,NA,0.013784549048816,NA,NA,NA
"FULL","S1",0.2,1963,0,NA,NA,0,NA,NA,NA
"FULL","S1",0.2,1964,0,NA,NA,0,NA,NA,NA
"FULL","S1",0.2,1965,0.0171569805356404,0.0107566979820478,0.023557263089233,0.0178723232152409,0.00345786707062647,0.011094903756813,0.0246497426736688
"FULL","S1",0.2,1966,0.0169044365721232,0.0105979746539689,0.0232108984902776,0.0176156620706556,0.00340724986941471,0.0109374523266028,0.0242938718147084
"FULL","S1",0.2,1967,0.0128735304628401,0.00803896663860005,0.0177080942870801,0.0134282096733893,0.00261382585199644,0.00830511100347628,0.0185513083433023
"FULL","S1",0.2,1968,0.0103816471343228,0.00639336245454781,0.0143699318140978,0.0108503067447284,0.00215403253391936,0.00662840297824645,0.0150722105112103
"FULL","S1",0.2,1969,0.00824129323662089,0.00494001735243725,0.0115425691208045,0.00863183436702435,0.00179541654144358,0.00511281794579493,0.0121508507882538
"FULL","S1",0.2,1970,0.00731886564010524,0.00433668469523239,0.0103010465849781,0.00768248007644511,0.00162356355687267,0.00450029550497468,0.0108646646479155
"FULL","S1",0.2,1971,0.0261779166304871,0.0152964940410551,0.0370593392199191,0.0275584986359022,0.0059382470356563,0.0159195344460159,0.0391974628257886
"FULL","S1",0.2,1972,0.0293149740908098,0.0169089628292603,0.0417209853523593,0.0309609722800714,0.00679497611397988,0.0176428190966708,0.044279125463472
"FULL","S1",0.2,1973,0.0393722927158368,0.0224439394458118,0.0563006459858618,0.0417219323773009,0.00929531788719428,0.0235031093184001,0.0599407554362017
"FULL","S1",0.2,1974,0.0417736381397691,0.0235482448964315,0.0599990313831067,0.0444085461440451,0.0100311572238673,0.0247474779852652,0.064069614302825
"FULL","S1",0.2,1975,0.0258205460210204,0.0144271936005181,0.0372138984415227,0.0275226616273924,0.0062767466004065,0.0152202382905957,0.0398250849641891
"FULL","S1",0.2,1976,0.0257962699433654,0.0143175678888491,0.0372749719978817,0.027564411124758,0.00632840775287645,0.0151607319291202,0.0399680903203958
"FULL","S1",0.2,1977,0.0270116230007564,0.0148755130376367,0.0391477329638761,0.0289439667704854,0.00670127535787539,0.0158094670690496,0.0420784664719212
"FULL","S1",0.2,1978,0.0205714786599734,0.011281066024587,0.0298618912953598,0.0221037544031832,0.00514073085401396,0.0120279219293158,0.0321795868770506
"FULL","S1",0.2,1979,0.0200458053134528,0.0110283793529649,0.0290632312739406,0.0215811753486989,0.00500224379728234,0.0117767775060255,0.0313855731913723
"FULL","S1",0.2,1980,0.0259981531046172,0.0143263544580455,0.0376699517511889,0.0280318617814115,0.00649338775100787,0.0153048217894361,0.0407589017733869
"FULL","S1",0.2,1981,0.0358226995360479,0.019905113190722,0.0517402858813738,0.0386882869170077,0.00889737090598815,0.0212494399412709,0.0561271338927445
"FULL","S1",0.2,1982,0.0209760318001251,0.0118859010653099,0.0300661625349403,0.0227096142254105,0.00510170592943482,0.0127102706037183,0.0327089578471027
"FULL","S1",0.2,1983,0.0209554956405007,0.0124050647073978,0.0295059265736036,0.0226764492162027,0.00480699083073201,0.013254747187968,0.0320981512444374
"FULL","S1",0.2,1984,0.0243072635947046,0.0145702597518615,0.0340442674375477,0.0261912940243509,0.00545013507440257,0.0155090292785219,0.0368735587701799
"FULL","S1",0.2,1985,0.0228633268366279,0.0138009878921827,0.0319256657810731,0.0246247373214143,0.00507115515776582,0.0146852732121933,0.0345642014306353
"FULL","S1",0.2,1986,0.0241728077271226,0.0147443574151798,0.0336012580390654,0.0259921348804036,0.00526853951952933,0.0156657974221261,0.0363184723386811
"FULL","S1",0.2,1987,0.0214644891365385,0.0131663495361828,0.0297626287368942,0.0230489391495962,0.00463299528780661,0.0139682683854952,0.0321296099136972
"FULL","S1",0.2,1988,0.0234340913489259,0.0143635041316808,0.032504678566171,0.0251331750891519,0.00505476281898235,0.0152258399639465,0.0350405102143573
"FULL","S1",0.2,1989,0.0225962029229545,0.0138601465678646,0.0313322592780444,0.0242470295905803,0.0048686394562619,0.014704496256307,0.0337895629248536
"FULL","S1",0.2,1990,0.0254194004655164,0.015613517809331,0.0352252831217018,0.0273142336662853,0.00547544107141779,0.0165823691663064,0.0380460981662642
"FULL","S1",0.2,1991,0.0224478191630575,0.0137550216515338,0.0311406166745812,0.0241914550023664,0.0048617533917468,0.0146624183545427,0.0337204916501901
"FULL","S1",0.2,1992,0.0239531294914846,0.0146540884560478,0.0332521705269214,0.0259931777325436,0.00524028353632496,0.0157222220013467,0.0362641334637405
"FULL","S1",0.2,1993,0.024165529379101,0.0147267758177129,0.0336042829404891,0.0265242230592987,0.0053774603400536,0.0159844007927936,0.0370640453258038
"FULL","S1",0.2,1994,0.024053621046876,0.0146011353032505,0.0335061067905015,0.026772242413586,0.0054614941520817,0.0160677138755059,0.0374767709516661
"FULL","S1",0.2,1995,0.0212372993109678,0.0128532686377389,0.0296213299841967,0.0239096873096576,0.00490879393439337,0.0142884511982466,0.0335309234210686
"FULL","S1",0.2,1996,0.02069718677163,0.0124228116096584,0.0289715619336016,0.0235986639542615,0.00488012369626103,0.0140336215095899,0.0331637063989331
"FULL","S1",0.2,1997,0.0190309313726633,0.011243391329941,0.0268184714153856,0.0220247775544835,0.00469001344539111,0.0128323512015169,0.0312172039074501
"FULL","S1",0.2,1998,0.0188356477064487,0.0112726490217336,0.0263986463911638,0.0219730234313266,0.00458376517125275,0.0129888436956712,0.030957203166982
"FULL","S1",0.2,1999,0.0194127254153214,0.0117599723349975,0.0270654784956453,0.022612820724547,0.00463129994100672,0.0135354728401738,0.0316901686089202
"FULL","S1",0.2,2000,0.0198190390427763,0.0120807637005811,0.0275573143849715,0.0229495631494334,0.00464563807952423,0.0138441125135659,0.0320550137853009
"FULL","S1",0.2,2001,0.0223060421563564,0.0137515998544177,0.0308604844582951,0.0256104746674028,0.0050911596441437,0.0156318017648811,0.0355891475699245
"FULL","S1",0.2,2002,0.0250339366850173,0.0155560761251594,0.0345117972448752,0.0285109682658181,0.00559531448922683,0.0175441518669335,0.0394777846647027
"FULL","S1",0.2,2003,0.02738158267147,0.0170383142790616,0.0377248510638784,0.0310081120779889,0.00606839719365247,0.0191140535784301,0.0429021705775477
"FULL","S1",0.2,2004,0.0283220105863787,0.0176615927853769,0.0389824283873805,0.0319494287607709,0.00623882984738516,0.019721322259896,0.0441775352616458
"FULL","S1",0.2,2005,0.0264528152119841,0.0165544119668352,0.036351218457133,0.0296969611600835,0.00578287839099646,0.0183625195137304,0.0410314028064366
"FULL","S1",0.2,2006,0.0327014917215898,0.0204091517182302,0.0449938317249494,0.0364788573002881,0.00713385620266332,0.022496499143068,0.0504612154575082
"FULL","S1",0.2,2007,0.0366386860357072,0.0227687279767881,0.0505086440946263,0.0405729969882257,0.00799964818166156,0.024893686552169,0.0562523074242824
"FULL","S1",0.2,2008,0.0357640359853726,0.0221449704070973,0.0493831015636479,0.0392626057037414,0.00779735457010559,0.0239797907463344,0.0545454206611484
"FULL","S1",0.2,2009,0.0341440314480969,0.0211223807949889,0.0471656821012049,0.0370840279557498,0.00739091025691647,0.0225978438521935,0.0515702120593061
"FULL","S1",0.2,2010,0.0326090488699129,0.0202102992320283,0.0450077985077975,0.0349295750618021,0.00694784774703896,0.0213117934776057,0.0485473566459985
"FULL","S1",0.2,2011,0.0363828534325491,0.0225614325180625,0.0502042743470357,0.0385048935687228,0.00764363884407647,0.0235233614343329,0.0534864257031127
"FULL","S1",0.2,2012,0.0366287393767074,0.0226492000864293,0.0506082786669855,0.0382981179688215,0.00760130066369509,0.0233995686679791,0.0531966672696639
"FULL","S1",0.2,2013,0.0388384402307979,0.0239741212272314,0.0537027592343644,0.0401183808890653,0.00797252639537873,0.024492229154123,0.0557445326240076
"FULL","S1",0.2,2014,0.0392909589231306,0.0242628331642379,0.0543190846820233,0.0400069913954125,0.0079659642049406,0.0243937015537289,0.0556202812370961
"FULL","S1",0.2,2015,0.0413971023279741,0.0255280014044512,0.057266203251497,0.0416889941064406,0.00832554814070387,0.025370919750661,0.0580070684622202
"FULL","S1",0.2,2016,0.0393889893847179,0.0242135670684476,0.0545644117009882,0.0393611314280243,0.00787694870640718,0.0239223119634662,0.0547999508925824
"FULL","S1",0.2,2017,0.0364984325687712,0.0223957777662873,0.0506010873712551,0.036301330511512,0.0072190160039616,0.0221520591437473,0.0504506018792767
"FULL","S1",0.2,2018,0.0368152229058674,0.022422004619984,0.0512084411917508,0.0364239563948465,0.00729753656350315,0.0221207847303803,0.0507271280593127
