"Dataset","Scenario","q","Fleet_name","Year","Obs","Exp","SE","Dev","Residual"
"FULL","S1",0.2,"MCDS",2012,4666810,4028960,0.223355,0.146967,0.657999492391501
"FULL","S1",0.2,"MCDS",2015,6016820,4634800,0.200968,0.260965,1.29854420808199
"FULL","S1",0.2,"MCDS",2018,5474760,4488760,0.179056,0.198571,1.10899352592453
"FULL","S1",0.2,"MCDS",2022,1470160,4053060,0.240034,-1.0141,-4.22482195430883
"WEE","S1",0.2,"MCDS",2012,4361960,3596560,0.246775,0.192944,0.781860660762556
"WEE","S1",0.2,"MCDS",2015,6016580,4132190,0.22207,0.375711,1.69186048903342
"WEE","S1",0.2,"MCDS",2018,5799270,3713840,0.18617,0.445666,2.39386402640877
"WEE","S1",0.2,"MCDS",2022,1119080,2895250,0.192524,-0.950564,-4.9373820609591
"FULL","S2",0.2,"MCDS",2012,4666810,4154130,0.223355,0.116373,0.521021399385436
"FULL","S2",0.2,"MCDS",2015,6141250,4796120,0.197401,0.247222,1.25237991093135
"FULL","S2",0.2,"MCDS",2018,5570460,4684540,0.176318,0.173209,0.982372251481284
"FULL","S2",0.2,"MCDS",2022,1551340,4291170,0.250234,-1.01744,-4.06595566329106
"WEE","S2",0.2,"MCDS",2012,4077020,3555220,0.272651,0.13695,0.502288212341043
"WEE","S2",0.2,"MCDS",2015,6144370,4123510,0.230852,0.398833,1.72765006572906
"WEE","S2",0.2,"MCDS",2018,6245460,3513540,0.18381,0.575232,3.12948546622879
"WEE","S2",0.2,"MCDS",2022,933976,2456400,0.184682,-0.967003,-5.23603491671102
"FULL","S1",0.4,"MCDS",2012,4666810,4311030,0.223355,0.0792996,0.355035258123456
"FULL","S1",0.4,"MCDS",2015,6126190,4985380,0.190094,0.206063,1.0840078807298
"FULL","S1",0.4,"MCDS",2018,5553880,4939640,0.170624,0.117204,0.686915841564327
"FULL","S1",0.4,"MCDS",2022,1577610,4654660,0.285027,-1.08195,-3.79598362516796
"WEE","S1",0.4,"MCDS",2012,3810700,3455620,0.30124,0.097812,0.324694622574134
"WEE","S1",0.4,"MCDS",2015,5968250,3902790,0.239982,0.424762,1.76997470693276
"WEE","S1",0.4,"MCDS",2018,6446380,3091370,0.181481,0.734903,4.04948382803373
"WEE","S1",0.4,"MCDS",2022,678822,1898380,0.177159,-1.0284,-5.80493921792358
"FULL","S2",0.4,"MCDS",2012,4666810,4551540,0.223355,0.0250094,0.111974737637638
"FULL","S2",0.4,"MCDS",2015,6379560,5288870,0.183927,0.187496,1.01939637462157
"FULL","S2",0.4,"MCDS",2018,5748050,5292820,0.16574,0.082509,0.497824796298096
"FULL","S2",0.4,"MCDS",2022,1751840,5079430,0.310421,-1.06453,-3.42931820472063
"WEE","S2",0.4,"MCDS",2012,3561770,3490720,0.332827,0.0201512,0.0605407423529346
"WEE","S2",0.4,"MCDS",2015,6095020,3934970,0.249472,0.437569,1.7539795502257
"WEE","S2",0.4,"MCDS",2018,6942360,2935570,0.179181,0.860741,4.80374667006262
"WEE","S2",0.4,"MCDS",2022,566540,1603410,0.169942,-1.04034,-6.1217368476204
