"Dataset","Scenario","q","Year","SSB","SSB_95_lo","SSB_95_hi","SSB_base","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S1",0.2,1982,30238.4,27097.304,33379.496,30238.31,27097.214,33379.406
"FULL","S1",0.2,1983,28983.98,26172.556,31795.404,28983.88,26172.456,31795.304
"FULL","S1",0.2,1984,24457.89,21992.406,26923.374,24457.78,21992.296,26923.264
"FULL","S1",0.2,1985,21951.67,19823.306,24080.034,21951.56,19823.196,24079.924
"FULL","S1",0.2,1986,22143.3,19979.46,24307.14,22143.18,19979.34,24307.02
"FULL","S1",0.2,1987,22856.03,20622.218,25089.842,22855.91,20622.098,25089.722
"FULL","S1",0.2,1988,12798.61,11555.1664,14042.0536,12798.53,11555.0864,14041.9736
"FULL","S1",0.2,1989,7667.075,6957.5354,8376.6146,7667.019,6957.4794,8376.5586
"FULL","S1",0.2,1990,12326.73,11243.3792,13410.0808,12326.65,11243.2992,13410.0008
"FULL","S1",0.2,1991,14149.08,12908.8312,15389.3288,14148.99,12908.7412,15389.2388
"FULL","S1",0.2,1992,13117.76,12000.0112,14235.5088,13117.68,11999.9312,14235.4288
"FULL","S1",0.2,1993,14624.3,13394.1452,15854.4548,14624.21,13394.0552,15854.3648
"FULL","S1",0.2,1994,15964.31,14812.6532,17115.9668,15964.21,14812.5532,17115.8668
"FULL","S1",0.2,1995,21086.1,19673.724,22498.476,21086,19673.624,22498.376
"FULL","S1",0.2,1996,28968.8,27029.4192,30908.1808,28968.66,27029.2988,30908.0212
"FULL","S1",0.2,1997,35447.8,32961.148,37934.452,35447.64,32960.988,37934.292
"FULL","S1",0.2,1998,34677.99,32374.206,36981.774,34677.85,32374.066,36981.634
"FULL","S1",0.2,1999,35334.47,32778.63,37890.31,35334.34,32778.5,37890.18
"FULL","S1",0.2,2000,39809.48,37047.056,42571.904,39809.41,37046.986,42571.834
"FULL","S1",0.2,2001,50577.33,47256.11,53898.55,50577.35,47256.13,53898.57
"FULL","S1",0.2,2002,59045.42,55381.2,62709.64,59045.61,55381.39,62709.83
"FULL","S1",0.2,2003,66324.96,62345.572,70304.348,66325.45,62346.062,70304.838
"FULL","S1",0.2,2004,61631.75,58053.378,65210.122,61632.68,58054.308,65211.052
"FULL","S1",0.2,2005,58285.55,55083.89,61487.21,58287.16,55085.5,61488.82
"FULL","S1",0.2,2006,61497.68,58055.724,64939.636,61500.25,58058.294,64942.206
"FULL","S1",0.2,2007,60361.97,56969.602,63754.338,60365.65,56973.086,63758.214
"FULL","S1",0.2,2008,60315.05,56961.294,63668.806,60320.41,56966.458,63674.362
"FULL","S1",0.2,2009,61686.36,58266.748,65105.972,61693.67,58273.666,65113.674
"FULL","S1",0.2,2010,60345.03,56969.518,63720.542,60353.28,56977.376,63729.184
"FULL","S1",0.2,2011,54670.21,51432.486,57907.934,54677.28,51439.164,57915.396
"FULL","S1",0.2,2012,59247.93,55883.198,62612.662,59251.62,55886.692,62616.548
"FULL","S1",0.2,2013,52156.55,49066.806,55246.294,52154.71,49065.162,55244.258
"FULL","S1",0.2,2014,47846.45,44968.974,50723.926,47841.15,44964.066,50718.234
"FULL","S1",0.2,2015,42431.02,39838.528,45023.512,42423.63,39831.726,45015.534
"FULL","S1",0.2,2016,39217.14,36663.848,41770.432,39208.79,36656.282,41761.298
"FULL","S1",0.2,2017,37048.33,34421.538,39675.122,37039.5,34413.884,39665.116
"FULL","S1",0.2,2018,37608.59,34683.094,40534.086,37599.12,34674.996,40523.244
"FULL","S1",0.2,2019,38856.99,35412.094,42301.886,38846.37,35403.238,42289.502
"FULL","S1",0.2,2020,43037.58,38507.628,47567.532,43024.09,38496.49,47551.69
"FULL","S1",0.2,2021,41629.42,36363.88,46894.96,41614.58,36351.784,46877.376
"FULL","S1",0.2,2022,41008.38,34454.14,47562.62,40993.63,34442.722,47544.538
"FULL","S1",0.4,1982,30238.48,27097.384,33379.576,30238.31,27097.214,33379.406
"FULL","S1",0.4,1983,28984.08,26172.656,31795.504,28983.88,26172.456,31795.304
"FULL","S1",0.4,1984,24457.99,21992.506,26923.474,24457.78,21992.296,26923.264
"FULL","S1",0.4,1985,21951.76,19823.396,24080.124,21951.56,19823.196,24079.924
"FULL","S1",0.4,1986,22143.4,19979.56,24307.24,22143.18,19979.34,24307.02
"FULL","S1",0.4,1987,22856.15,20622.338,25089.962,22855.91,20622.098,25089.722
"FULL","S1",0.4,1988,12798.68,11555.2168,14042.1432,12798.53,11555.0864,14041.9736
"FULL","S1",0.4,1989,7667.129,6957.5698,8376.6882,7667.019,6957.4794,8376.5586
"FULL","S1",0.4,1990,12326.81,11243.4396,13410.1804,12326.65,11243.2992,13410.0008
"FULL","S1",0.4,1991,14149.17,12908.9016,15389.4384,14148.99,12908.7412,15389.2388
"FULL","S1",0.4,1992,13117.84,12000.0716,14235.6084,13117.68,11999.9312,14235.4288
"FULL","S1",0.4,1993,14624.39,13394.2352,15854.5448,14624.21,13394.0552,15854.3648
"FULL","S1",0.4,1994,15964.4,14812.7236,17116.0764,15964.21,14812.5532,17115.8668
"FULL","S1",0.4,1995,21086.21,19673.8144,22498.6056,21086,19673.624,22498.376
"FULL","S1",0.4,1996,28968.92,27029.5392,30908.3008,28968.66,27029.2988,30908.0212
"FULL","S1",0.4,1997,35447.96,32961.308,37934.612,35447.64,32960.988,37934.292
"FULL","S1",0.4,1998,34678.13,32374.346,36981.914,34677.85,32374.066,36981.634
"FULL","S1",0.4,1999,35334.61,32778.77,37890.45,35334.34,32778.5,37890.18
