"Dataset","Scenario","q","Year","SSB","SSB_95_lo","SSB_95_hi","SSB_base","StdDev_base","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S1",0.2,1963,2069410,1184036.84,2954783.16,1897550,420361,1073642.44,2721457.56
"FULL","S1",0.2,1964,2081840,1195312.4,2968367.6,1909820,420987,1084685.48,2734954.52
"FULL","S1",0.2,1965,2094250,1206818.84,2981681.16,1922030,421436,1096015.44,2748044.56
"FULL","S1",0.2,1966,2089170,1200635.36,2977704.64,1916610,421879,1089727.16,2743492.84
"FULL","S1",0.2,1967,2083370,1189770.72,2976969.28,1909930,424340,1078223.6,2741636.4
"FULL","S1",0.2,1968,2078600,1176406.12,2980793.88,1903070,427831,1064521.24,2741618.76
"FULL","S1",0.2,1969,2072770,1162177.52,2983362.48,1894740,430780,1050411.2,2739068.8
"FULL","S1",0.2,1970,2065640,1148818.64,2982461.36,1885190,432473,1037542.92,2732837.08
"FULL","S1",0.2,1971,2051340,1131941.24,2970738.76,1868000,432013,1021254.52,2714745.48
"FULL","S1",0.2,1972,2009350,1093785,2924915,1823390,428166,984184.64,2662595.36
"FULL","S1",0.2,1973,1953850,1049025.8,2858674.2,1765580,420772,940866.88,2590293.12
"FULL","S1",0.2,1974,1882410,995200.32,2769619.68,1692860,410118,889028.72,2496691.28
"FULL","S1",0.2,1975,1808150,943188.28,2673111.72,1618570,397494,839481.76,2397658.24
"FULL","S1",0.2,1976,1751420,910182.12,2592657.88,1562780,384516,809128.64,2316431.36
"FULL","S1",0.2,1977,1706720,887322.4,2526117.6,1520060,372908,789160.32,2250959.68
"FULL","S1",0.2,1978,1686620,882816.16,2490423.84,1502610,364937,787333.48,2217886.52
"FULL","S1",0.2,1979,1720100,919436.08,2520763.92,1539760,364223,825882.92,2253637.08
"FULL","S1",0.2,1980,1795930,984650.72,2607209.28,1619510,371155,892046.2,2346973.8
"FULL","S1",0.2,1981,1901320,1065381.96,2737258.04,1728180,385332,972929.28,2483430.72
"FULL","S1",0.2,1982,1999290,1131135.44,2867444.56,1826710,402136,1038523.44,2614896.56
"FULL","S1",0.2,1983,2098820,1199964,2997676,1926540,417958,1107342.32,2745737.68
"FULL","S1",0.2,1984,2173120,1251861.2,3094378.8,2001670,429638,1159579.52,2843760.48
