"Dataset","Scenario","q","Year","SSB","SSB_base","SSB_95_lo","SSB_95_hi","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S1",0.2,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S1",0.2,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S1",0.2,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S1",0.2,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S1",0.2,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S1",0.2,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S1",0.2,1982,85.37978263,85.37978263,NA,NA,NA,NA
"FULL","S1",0.2,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S1",0.2,1984,143.1200452,143.1200452,NA,NA,NA,NA
"FULL","S1",0.2,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S1",0.2,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S1",0.2,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S1",0.2,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S1",0.2,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S1",0.2,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S1",0.2,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S1",0.2,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S1",0.2,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S1",0.2,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S1",0.2,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S1",0.2,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S1",0.2,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S1",0.2,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S1",0.2,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S1",0.2,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S1",0.2,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S1",0.2,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S1",0.2,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S1",0.2,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S1",0.2,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S1",0.2,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S1",0.2,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S1",0.2,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S1",0.2,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S1",0.2,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S1",0.2,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S1",0.2,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S1",0.2,2013,77.49597549,77.30693784,NA,NA,NA,NA
"FULL","S1",0.2,2014,86.35978838,86.01776142,NA,NA,NA,NA
"FULL","S1",0.2,2015,66.91946919,63.2630962,NA,NA,NA,NA
"FULL","S1",0.2,2016,89.10623066,89.14134109,NA,NA,NA,NA
"FULL","S1",0.2,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S1",0.2,2018,54.35366744,54.12243162,NA,NA,NA,NA
"FULL","S1",0.2,2019,78.37508119,78.24996695,NA,NA,NA,NA
"FULL","S1",0.2,2021,135.6162916,134.6571599,NA,NA,NA,NA
"FULL","S1",0.2,2022,109.5571217,109.0138877,NA,NA,NA,NA
"FULL","S1",0.4,1976,147.8006758,147.8006758,NA,NA,NA,NA
