"Dataset","Scenario","q","Year","F","F_base","F_95_lo","F_95_hi","F_base_95_lo","F_base_95_hi"
"FULL","S1",0.2,1976,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1977,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1978,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1979,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1980,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1981,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1982,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1983,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1984,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1985,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1986,NA,NA,NA,NA,NA,NA
"FULL","S1",0.2,1987,0.1738958,0.1738958,NA,NA,NA,NA
"FULL","S1",0.2,1988,0.385217312,0.385217312,NA,NA,NA,NA
"FULL","S1",0.2,1989,0.2207997,0.2207997,NA,NA,NA,NA
"FULL","S1",0.2,1990,0.145539998,0.145539998,NA,NA,NA,NA
"FULL","S1",0.2,1991,0.257925641,0.257925641,NA,NA,NA,NA
"FULL","S1",0.2,1992,0.236287481,0.236287481,NA,NA,NA,NA
"FULL","S1",0.2,1993,0.416667106,0.416667106,NA,NA,NA,NA
"FULL","S1",0.2,1994,0.245286647,0.245286647,NA,NA,NA,NA
"FULL","S1",0.2,1995,0.193059975,0.193059975,NA,NA,NA,NA
"FULL","S1",0.2,1996,0.354187971,0.354187971,NA,NA,NA,NA
"FULL","S1",0.2,1997,0.334632131,0.334632131,NA,NA,NA,NA
"FULL","S1",0.2,1998,0.357557949,0.357557949,NA,NA,NA,NA
"FULL","S1",0.2,1999,0.280136001,0.280136001,NA,NA,NA,NA
"FULL","S1",0.2,2000,0.120302198,0.120302198,NA,NA,NA,NA
"FULL","S1",0.2,2001,0.121094126,0.121094126,NA,NA,NA,NA
"FULL","S1",0.2,2002,0.156158622,0.156158622,NA,NA,NA,NA
"FULL","S1",0.2,2003,0.099520686,0.099520686,NA,NA,NA,NA
"FULL","S1",0.2,2004,0.232451922,0.232451922,NA,NA,NA,NA
"FULL","S1",0.2,2005,0.292434981,0.292434981,NA,NA,NA,NA
"FULL","S1",0.2,2006,0.152740409,0.152740409,NA,NA,NA,NA
