"Dataset","Scenario","q","Season","Year","Residual"
"FULL","S1",0.2,"SPRING",2009,0.006270527
"FULL","S1",0.2,"SPRING",2010,-0.6743943
"FULL","S1",0.2,"SPRING",2011,-0.07672365
"FULL","S1",0.2,"SPRING",2012,-0.4796412
"FULL","S1",0.2,"SPRING",2013,0.3478909
"FULL","S1",0.2,"SPRING",2014,-2.250559
"FULL","S1",0.2,"SPRING",2015,2.478739
"FULL","S1",0.2,"SPRING",2016,-1.767428
"FULL","S1",0.2,"SPRING",2017,-0.9570332
"FULL","S1",0.2,"SPRING",2018,0.9992189
"FULL","S1",0.2,"SPRING",2019,1.202057
"FULL","S1",0.2,"SPRING",2021,0.4434957
"FULL","S1",0.2,"SPRING",2022,0.7281068
"FULL","S1",0.2,"FALL",2009,-0.3088652
"FULL","S1",0.2,"FALL",2010,-1.97013
"FULL","S1",0.2,"FALL",2011,-0.3759102
"FULL","S1",0.2,"FALL",2012,0.5451056
"FULL","S1",0.2,"FALL",2013,-0.9489316
"FULL","S1",0.2,"FALL",2014,0.49853
"FULL","S1",0.2,"FALL",2015,-0.01505688
"FULL","S1",0.2,"FALL",2016,1.816689
"FULL","S1",0.2,"FALL",2018,3.181286
"FULL","S1",0.2,"FALL",2019,-0.7283383
"FULL","S1",0.2,"FALL",2021,-0.9051182
"FULL","S1",0.2,"FALL",2022,-0.7892609
"WEE","S1",0.2,"SPRING",2009,0.07003124
"WEE","S1",0.2,"SPRING",2010,-0.5202581
"WEE","S1",0.2,"SPRING",2011,-0.2036459
"WEE","S1",0.2,"SPRING",2012,-0.4567307
"WEE","S1",0.2,"SPRING",2013,0.3104512
"WEE","S1",0.2,"SPRING",2014,-2.450904
"WEE","S1",0.2,"SPRING",2015,2.492799
"WEE","S1",0.2,"SPRING",2016,-1.650364
"WEE","S1",0.2,"SPRING",2017,-0.9866893
"WEE","S1",0.2,"SPRING",2018,1.155964
"WEE","S1",0.2,"SPRING",2019,1.065421
"WEE","S1",0.2,"SPRING",2021,0.4407869
"WEE","S1",0.2,"SPRING",2022,0.7331398
"WEE","S1",0.2,"FALL",2009,0.1079366
"WEE","S1",0.2,"FALL",2010,-1.611246
"WEE","S1",0.2,"FALL",2011,-0.3967662
"WEE","S1",0.2,"FALL",2012,0.7313021
"WEE","S1",0.2,"FALL",2013,-1.355452
"WEE","S1",0.2,"FALL",2014,0.7614711
"WEE","S1",0.2,"FALL",2015,-0.8618833
"WEE","S1",0.2,"FALL",2016,1.712856
"WEE","S1",0.2,"FALL",2018,3.619497
"WEE","S1",0.2,"FALL",2019,-0.6978635
"WEE","S1",0.2,"FALL",2021,-1.73913
"WEE","S1",0.2,"FALL",2022,-0.2707216
"FULL","S2",0.2,"SPRING",2009,-0.01781551
"FULL","S2",0.2,"SPRING",2010,-0.6983617
"FULL","S2",0.2,"SPRING",2011,-0.1009717
"FULL","S2",0.2,"SPRING",2012,-0.5043332
"FULL","S2",0.2,"SPRING",2013,0.351898
"FULL","S2",0.2,"SPRING",2014,-2.243414
"FULL","S2",0.2,"SPRING",2015,2.467151
"FULL","S2",0.2,"SPRING",2016,-1.763711
"FULL","S2",0.2,"SPRING",2017,-0.9447272
"FULL","S2",0.2,"SPRING",2018,0.9774781
"FULL","S2",0.2,"SPRING",2019,1.226069
"FULL","S2",0.2,"SPRING",2021,0.5037223
"FULL","S2",0.2,"SPRING",2022,0.7470138
"FULL","S2",0.2,"FALL",2009,-0.3620024
"FULL","S2",0.2,"FALL",2010,-2.023364
"FULL","S2",0.2,"FALL",2011,-0.4293415
"FULL","S2",0.2,"FALL",2012,0.4913641
"FULL","S2",0.2,"FALL",2013,-0.9200586
"FULL","S2",0.2,"FALL",2014,0.5184426
"FULL","S2",0.2,"FALL",2015,0.02817777
"FULL","S2",0.2,"FALL",2016,1.793809
"FULL","S2",0.2,"FALL",2018,3.147568
"FULL","S2",0.2,"FALL",2019,-0.7187716
"FULL","S2",0.2,"FALL",2021,-0.8600261
"FULL","S2",0.2,"FALL",2022,-0.6657955
"WEE","S2",0.2,"SPRING",2009,0.04407504
"WEE","S2",0.2,"SPRING",2010,-0.5460206
"WEE","S2",0.2,"SPRING",2011,-0.2298135
"WEE","S2",0.2,"SPRING",2012,-0.4834969
"WEE","S2",0.2,"SPRING",2013,0.3142969
"WEE","S2",0.2,"SPRING",2014,-2.443834
"WEE","S2",0.2,"SPRING",2015,2.478668
"WEE","S2",0.2,"SPRING",2016,-1.647987
"WEE","S2",0.2,"SPRING",2017,-0.973969
"WEE","S2",0.2,"SPRING",2018,1.130322
"WEE","S2",0.2,"SPRING",2019,1.091386
"WEE","S2",0.2,"SPRING",2021,0.5156505
"WEE","S2",0.2,"SPRING",2022,0.7507221
"WEE","S2",0.2,"FALL",2009,0.01836113
"WEE","S2",0.2,"FALL",2010,-1.700998
"WEE","S2",0.2,"FALL",2011,-0.4868369
"WEE","S2",0.2,"FALL",2012,0.6407786
"WEE","S2",0.2,"FALL",2013,-1.282375
"WEE","S2",0.2,"FALL",2014,0.7648224
"WEE","S2",0.2,"FALL",2015,-0.7524415
"WEE","S2",0.2,"FALL",2016,1.66273
"WEE","S2",0.2,"FALL",2018,3.550265
"WEE","S2",0.2,"FALL",2019,-0.7074717
"WEE","S2",0.2,"FALL",2021,-1.59339
"WEE","S2",0.2,"FALL",2022,-0.1134432
"FULL","S1",0.4,"SPRING",2009,-0.00265178
"FULL","S1",0.4,"SPRING",2010,-0.6832445
"FULL","S1",0.4,"SPRING",2011,-0.08565157
"FULL","S1",0.4,"SPRING",2012,-0.488756
"FULL","S1",0.4,"SPRING",2013,0.3559322
"FULL","S1",0.4,"SPRING",2014,-2.245148
"FULL","S1",0.4,"SPRING",2015,2.47221
"FULL","S1",0.4,"SPRING",2016,-1.770353
"FULL","S1",0.4,"SPRING",2017,-0.9471322
"FULL","S1",0.4,"SPRING",2018,0.9920873
"FULL","S1",0.4,"SPRING",2019,1.209024
"FULL","S1",0.4,"SPRING",2021,0.4602224
"FULL","S1",0.4,"SPRING",2022,0.7334606
"FULL","S1",0.4,"FALL",2009,-0.3465608
"FULL","S1",0.4,"FALL",2010,-2.007831
"FULL","S1",0.4,"FALL",2011,-0.413754
"FULL","S1",0.4,"FALL",2012,0.5070409
"FULL","S1",0.4,"FALL",2013,-0.8578317
"FULL","S1",0.4,"FALL",2014,0.4793262
"FULL","S1",0.4,"FALL",2015,0.06897699
"FULL","S1",0.4,"FALL",2016,1.848059
"FULL","S1",0.4,"FALL",2018,3.162623
"FULL","S1",0.4,"FALL",2019,-0.739052
"FULL","S1",0.4,"FALL",2021,-0.8063817
"FULL","S1",0.4,"FALL",2022,-0.8946155
"WEE","S1",0.4,"SPRING",2009,0.09606054
"WEE","S1",0.4,"SPRING",2010,-0.4944237
"WEE","S1",0.4,"SPRING",2011,-0.1773865
"WEE","S1",0.4,"SPRING",2012,-0.4298156
"WEE","S1",0.4,"SPRING",2013,0.3066089
"WEE","S1",0.4,"SPRING",2014,-2.458041
"WEE","S1",0.4,"SPRING",2015,2.507142
"WEE","S1",0.4,"SPRING",2016,-1.652466
"WEE","S1",0.4,"SPRING",2017,-0.9994294
"WEE","S1",0.4,"SPRING",2018,1.182197
"WEE","S1",0.4,"SPRING",2019,1.039295
"WEE","S1",0.4,"SPRING",2021,0.3638191
"WEE","S1",0.4,"SPRING",2022,0.7164398
"WEE","S1",0.4,"FALL",2009,0.2047964
"WEE","S1",0.4,"FALL",2010,-1.514216
"WEE","S1",0.4,"FALL",2011,-0.2993986
"WEE","S1",0.4,"FALL",2012,0.8291517
"WEE","S1",0.4,"FALL",2013,-1.432249
"WEE","S1",0.4,"FALL",2014,0.7618815
"WEE","S1",0.4,"FALL",2015,-0.9807705
"WEE","S1",0.4,"FALL",2016,1.76978
"WEE","S1",0.4,"FALL",2018,3.696179
"WEE","S1",0.4,"FALL",2019,-0.6834612
"WEE","S1",0.4,"FALL",2021,-1.902849
"WEE","S1",0.4,"FALL",2022,-0.4488437
"FULL","S2",0.4,"SPRING",2009,-0.05038381
"FULL","S2",0.4,"SPRING",2010,-0.7307526
"FULL","S2",0.4,"SPRING",2011,-0.1337041
"FULL","S2",0.4,"SPRING",2012,-0.5376444
"FULL","S2",0.4,"SPRING",2013,0.3639495
"FULL","S2",0.4,"SPRING",2014,-2.230666
"FULL","S2",0.4,"SPRING",2015,2.449453
"FULL","S2",0.4,"SPRING",2016,-1.762685
"FULL","S2",0.4,"SPRING",2017,-0.9226969
"FULL","S2",0.4,"SPRING",2018,0.9492422
"FULL","S2",0.4,"SPRING",2019,1.256615
"FULL","S2",0.4,"SPRING",2021,0.5782005
"FULL","S2",0.4,"SPRING",2022,0.7710745
"FULL","S2",0.4,"FALL",2009,-0.4487802
"FULL","S2",0.4,"FALL",2010,-2.110258
"FULL","S2",0.4,"FALL",2011,-0.516565
"FULL","S2",0.4,"FALL",2012,0.4036185
"FULL","S2",0.4,"FALL",2013,-0.8062992
"FULL","S2",0.4,"FALL",2014,0.5201035
"FULL","S2",0.4,"FALL",2015,0.1473423
"FULL","S2",0.4,"FALL",2016,1.804313
"FULL","S2",0.4,"FALL",2018,3.098831
"FULL","S2",0.4,"FALL",2019,-0.7187434
"FULL","S2",0.4,"FALL",2021,-0.7265673
"FULL","S2",0.4,"FALL",2022,-0.6469949
"WEE","S2",0.4,"SPRING",2009,0.04407504
"WEE","S2",0.4,"SPRING",2010,-0.5460206
"WEE","S2",0.4,"SPRING",2011,-0.2298135
"WEE","S2",0.4,"SPRING",2012,-0.4834969
"WEE","S2",0.4,"SPRING",2013,0.3142969
"WEE","S2",0.4,"SPRING",2014,-2.443834
"WEE","S2",0.4,"SPRING",2015,2.478668
"WEE","S2",0.4,"SPRING",2016,-1.647987
"WEE","S2",0.4,"SPRING",2017,-0.973969
"WEE","S2",0.4,"SPRING",2018,1.130322
